,Author,Title,Year
0,Lauri Tuominen,Opioid system and human emotions,2018.0
1,Lauri Tuominen,Opioid release after high-intensity interval training in healthy human subjects,2018.0
2,Lauri Tuominen,μ-opioid receptor system mediates reward processing in humans,2018.0
3,Lauri Tuominen,Mapping neurotransmitter systems to the structural and functional organization of the human neocortex,2022.0
4,Lauri Tuominen,Sex difference in brain CB1 receptor availability in man,2019.0
5,Lauri Tuominen,Magia: robust automated image processing and kinetic modeling toolbox for PET neuroinformatics,2020.0
6,Lauri Tuominen,Association of locus coeruleus integrity with Braak stage and neuropsychiatric symptom severity in Alzheimer’s disease,2022.0
7,Lauri Tuominen,Aerobic exercise modulates anticipatory reward processing via the μ‐opioid receptor system,2018.0
8,Lauri Tuominen,The shared genetic basis of educational attainment and cerebral cortical morphology,2019.0
9,Lauri Tuominen,The relationship of perceptual discrimination to neural mechanisms of fear generalization,2019.0
10,Lauri Tuominen,The neurobiology of human fear generalization: meta-analysis and working neural model,2021.0
11,Lauri Tuominen,Adult attachment system links with brain mu opioid receptor availability in vivo,2021.0
12,Lauri Tuominen,The study of noninvasive brain stimulation using molecular brain imaging: a systematic review,2020.0
13,Lauri Tuominen,Amygdala subnucleus volumes in psychosis high-risk state and first-episode psychosis,2020.0
14,Lauri Tuominen,Correspondence between gene expression and neurotransmitter receptor and transporter density in the human brain,2022.0
15,Lauri Tuominen,Magia: Robust automated modeling and image processing toolbox for PET neuroinformatics,2020.0
16,Lauri Tuominen,Mesolimbic opioid-dopamine interaction is disrupted in obesity but recovered by weight loss following bariatric surgery,2021.0
17,Lauri Tuominen,Cerebral grey matter density is associated with neuroreceptor and neurotransporter availability: A combined PET and MRI study,2021.0
18,Lauri Tuominen,Neural abnormalities in fear generalization in schizophrenia and associations with negative symptoms,2021.0
19,Lauri Tuominen,First-in-human imaging and kinetic analysis of vesicular acetylcholine transporter density in the heart using [18F]FEOBV PET,2021.0
20,Lauri Tuominen,Impairment in acquisition of conditioned fear in schizophrenia,2022.0
21,Lauri Tuominen,"Clinical, brain, and multilevel clustering in early psychosis and affective stages",2022.0
22,Lauri Tuominen,Confirmatory factor analysis of the Maltreatment and Abuse Chronology of Exposure (MACE) scale: Evidence for essential unidimensionality,2022.0
23,Lauri Tuominen,Short-term functional outcome in psychotic patients: results of the Turku early psychosis study (TEPS),2021.0
24,Lauri Tuominen,Preoperative brain μ-opioid receptor availability predicts weight development following bariatric surgery in women,2021.0
25,Lauri Tuominen,Aerobic Fitness Is Associated with Cerebral μ-Opioid Receptor Activation in Healthy Humans,2022.0
26,Lauri Tuominen,Simultaneous PET-MRI confirms that cerebral blood flow does not confound PET neuroreceptor activation studies,2018.0
27,Lauri Tuominen,50 Years of Research on Dopamine’s Role in Passive Aversive Conditioning and Extinction: A Systematic Review,2023.0
28,Lauri Tuominen,P107. The Role of Dopamine in Passive Aversive Conditioning–a Systematic Review,2022.0
29,Lauri Tuominen,"Kraepelin and Bleuler were right: disorganised thinking and poverty of emotions, not delusions or hallucinations, are primary in psychoses",2021.0
30,Lauri Tuominen,Mapping neurotransmitter receptor and transporter distributions to the connectivity and dynamics of the human neocortex,2021.0
31,Lauri Tuominen,A single session of theta burst stimulation alters metabolic activity in the core depression network,2021.0
32,Lauri Tuominen,Towards an opioid receptor atlas of the human brain,2021.0
33,Lauri Tuominen,Examining Amygdala Subnuclei in the Human Connectome Project Early Psychosis Release 1.0 Dataset,2021.0
